OBJECTID,DATE,Count_
1,2020/03/18 10:00:00+00,2
2,2020/03/19 10:00:00+00,0
3,2020/03/20 10:00:00+00,2
4,2020/03/21 10:00:00+00,0
5,2020/03/22 10:00:00+00,1
6,2020/03/23 10:00:00+00,0
7,2020/03/24 10:00:00+00,1
8,2020/03/25 10:00:00+00,0
9,2020/03/26 10:00:00+00,2
10,2020/03/27 10:00:00+00,3
11,2020/03/28 10:00:00+00,8
12,2020/03/29 10:00:00+00,7
13,2020/03/30 10:00:00+00,11
14,2020/03/31 10:00:00+00,8
15,2020/04/01 10:00:00+00,8
16,2020/04/02 10:00:00+00,11
17,2020/04/03 10:00:00+00,19
18,2020/04/04 10:00:00+00,16
19,2020/04/05 10:00:00+00,23
20,2020/04/06 10:00:00+00,16
21,2020/04/07 10:00:00+00,21
22,2020/04/08 10:00:00+00,29
23,2020/04/09 10:00:00+00,29
24,2020/04/10 10:00:00+00,34
25,2020/04/11 10:00:00+00,42
26,2020/04/12 10:00:00+00,31
27,2020/04/13 10:00:00+00,43
28,2020/04/14 10:00:00+00,36
29,2020/04/15 10:00:00+00,46
30,2020/04/16 10:00:00+00,31
31,2020/04/17 10:00:00+00,41
32,2020/04/18 10:00:00+00,39
33,2020/04/19 10:00:00+00,44
34,2020/04/20 10:00:00+00,51
35,2020/04/21 10:00:00+00,48
36,2020/04/22 10:00:00+00,47
37,2020/04/23 10:00:00+00,52
38,2020/04/24 10:00:00+00,64
39,2020/04/25 10:00:00+00,49
40,2020/04/26 10:00:00+00,51
41,2020/04/27 10:00:00+00,42
42,2020/04/28 10:00:00+00,53
43,2020/04/29 10:00:00+00,69
44,2020/04/30 10:00:00+00,60
45,2020/05/01 10:00:00+00,49
46,2020/05/02 10:00:00+00,45
47,2020/05/03 10:00:00+00,44
48,2020/05/04 10:00:00+00,53
49,2020/05/05 10:00:00+00,53
50,2020/05/06 10:00:00+00,42
51,2020/05/07 10:00:00+00,57
52,2020/05/08 10:00:00+00,64
53,2020/05/09 10:00:00+00,50
54,2020/05/10 10:00:00+00,44
55,2020/05/11 10:00:00+00,50
56,2020/05/12 10:00:00+00,48
57,2020/05/13 10:00:00+00,48
58,2020/05/14 10:00:00+00,53
59,2020/05/15 10:00:00+00,57
60,2020/05/16 10:00:00+00,48
61,2020/05/17 10:00:00+00,49
62,2020/05/18 10:00:00+00,35
63,2020/05/19 10:00:00+00,41
64,2020/05/20 10:00:00+00,34
65,2020/05/21 10:00:00+00,24
66,2020/05/22 10:00:00+00,56
67,2020/05/23 10:00:00+00,30
68,2020/05/24 10:00:00+00,36
69,2020/05/25 10:00:00+00,39
70,2020/05/26 10:00:00+00,41
71,2020/05/27 10:00:00+00,43
72,2020/05/28 10:00:00+00,44
73,2020/05/29 10:00:00+00,39
74,2020/05/30 10:00:00+00,28
75,2020/05/31 10:00:00+00,35
76,2020/06/01 10:00:00+00,31
77,2020/06/02 10:00:00+00,25
78,2020/06/03 10:00:00+00,38
79,2020/06/04 10:00:00+00,33
80,2020/06/05 10:00:00+00,31
81,2020/06/06 10:00:00+00,24
82,2020/06/07 10:00:00+00,27
83,2020/06/08 10:00:00+00,22
84,2020/06/09 10:00:00+00,26
85,2020/06/10 10:00:00+00,33
86,2020/06/11 10:00:00+00,23
87,2020/06/12 10:00:00+00,23
88,2020/06/13 10:00:00+00,18
89,2020/06/14 10:00:00+00,17
90,2020/06/15 10:00:00+00,23
91,2020/06/16 10:00:00+00,13
92,2020/06/17 10:00:00+00,22
93,2020/06/18 10:00:00+00,9
94,2020/06/19 10:00:00+00,20
95,2020/06/20 10:00:00+00,21
96,2020/06/21 10:00:00+00,13
97,2020/06/22 10:00:00+00,16
98,2020/06/23 10:00:00+00,15
99,2020/06/24 10:00:00+00,16
100,2020/06/25 10:00:00+00,11
101,2020/06/26 10:00:00+00,14
102,2020/06/27 10:00:00+00,19
103,2020/06/28 10:00:00+00,6
104,2020/06/29 10:00:00+00,15
105,2020/06/30 10:00:00+00,13
106,2020/07/01 10:00:00+00,14
107,2020/07/02 10:00:00+00,7
108,2020/07/03 10:00:00+00,17
109,2020/07/04 10:00:00+00,8
110,2020/07/05 10:00:00+00,7
111,2020/07/06 10:00:00+00,15
112,2020/07/07 10:00:00+00,11
113,2020/07/08 10:00:00+00,6
114,2020/07/09 10:00:00+00,11
115,2020/07/10 10:00:00+00,7
116,2020/07/11 10:00:00+00,13
117,2020/07/12 10:00:00+00,7
118,2020/07/13 10:00:00+00,6
119,2020/07/14 10:00:00+00,2
120,2020/07/15 10:00:00+00,11
121,2020/07/16 10:00:00+00,13
122,2020/07/17 10:00:00+00,8
123,2020/07/18 10:00:00+00,10
124,2020/07/19 10:00:00+00,11
125,2020/07/20 10:00:00+00,7
126,2020/07/21 10:00:00+00,10
127,2020/07/22 10:00:00+00,5
128,2020/07/23 10:00:00+00,9
129,2020/07/24 10:00:00+00,11
130,2020/07/25 10:00:00+00,9
131,2020/07/26 10:00:00+00,8
132,2020/07/27 10:00:00+00,10
133,2020/07/28 10:00:00+00,12
134,2020/07/29 10:00:00+00,11
135,2020/07/30 10:00:00+00,10
136,2020/07/31 10:00:00+00,7
137,2020/08/01 10:00:00+00,12
138,2020/08/02 10:00:00+00,8
139,2020/08/03 10:00:00+00,10
140,2020/08/04 10:00:00+00,9
141,2020/08/05 10:00:00+00,9
142,2020/08/06 10:00:00+00,10
143,2020/08/07 10:00:00+00,12
144,2020/08/08 10:00:00+00,8
145,2020/08/09 10:00:00+00,5
146,2020/08/10 10:00:00+00,12
147,2020/08/11 10:00:00+00,6
148,2020/08/12 10:00:00+00,12
149,2020/08/13 10:00:00+00,9
150,2020/08/14 10:00:00+00,6
151,2020/08/15 10:00:00+00,8
152,2020/08/16 10:00:00+00,3
153,2020/08/17 10:00:00+00,8
154,2020/08/18 10:00:00+00,8
155,2020/08/19 10:00:00+00,5
156,2020/08/20 10:00:00+00,6
157,2020/08/21 10:00:00+00,13
158,2020/08/22 10:00:00+00,11
159,2020/08/23 10:00:00+00,7
160,2020/08/24 10:00:00+00,0
161,2020/08/25 10:00:00+00,10
162,2020/08/26 10:00:00+00,9
163,2020/08/27 10:00:00+00,11
164,2020/08/28 10:00:00+00,11
165,2020/08/29 10:00:00+00,6
166,2020/08/30 10:00:00+00,8
167,2020/08/31 10:00:00+00,3
168,2020/09/01 10:00:00+00,6
169,2020/09/02 10:00:00+00,8
170,2020/09/03 10:00:00+00,14
171,2020/09/04 10:00:00+00,5
172,2020/09/05 10:00:00+00,7
173,2020/09/06 10:00:00+00,2
174,2020/09/07 10:00:00+00,4
175,2020/09/08 10:00:00+00,2
176,2020/09/09 10:00:00+00,8
177,2020/09/10 10:00:00+00,10
178,2020/09/11 10:00:00+00,4
179,2020/09/12 10:00:00+00,4
180,2020/09/13 10:00:00+00,3
181,2020/09/14 10:00:00+00,9
182,2020/09/15 10:00:00+00,9
183,2020/09/16 10:00:00+00,6
184,2020/09/17 10:00:00+00,5
185,2020/09/18 10:00:00+00,7
186,2020/09/19 10:00:00+00,6
187,2020/09/20 10:00:00+00,7
188,2020/09/21 10:00:00+00,5
189,2020/09/22 10:00:00+00,4
190,2020/09/23 10:00:00+00,12
191,2020/09/24 10:00:00+00,3
192,2020/09/25 10:00:00+00,8
193,2020/09/26 10:00:00+00,7
194,2020/09/27 10:00:00+00,5
195,2020/09/28 10:00:00+00,7
196,2020/09/29 10:00:00+00,3
197,2020/09/30 10:00:00+00,2
